;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/6/2010 11:21:07 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0132	0x2401      	ADDWF       R1, 0 
0x0134	0x6EF6      	MOVWF       4086 
0x0136	0x0E17      	MOVLW       hi_addr(_letter_G)
0x0138	0x2002      	ADDWFC      R2, 0 
0x013A	0x6EF7      	MOVWF       TBLPTRH 
0x013C	0x0E00      	MOVLW       higher_addr(_letter_G)
0x013E	0x6EF8      	MOVWF       TBLPTRU 
0x0140	0x0E00      	MOVLW       0
0x0142	0xBE02      	BTFSC       R2, 7 
0x0144	0x0EFF      	MOVLW       255
0x0146	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0148	0x0009      	TBLRD*+
0x014A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x014E	0xF006EF22  	GOTO        L_printChar87
L_printChar86:
;pov++.c,475 :: 		else if(letter == 'H') PORTA = letter_H[n];
0x0152	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0154	0x0A48      	XORLW       72
0x0156	0xE111      	BNZ         L_printChar88
0x0158	0x0E1B      	MOVLW       _letter_H
0x015A	0x2401      	ADDWF       R1, 0 
0x015C	0x6EF6      	MOVWF       4086 
0x015E	0x0E17      	MOVLW       hi_addr(_letter_H)
0x0160	0x2002      	ADDWFC      R2, 0 
0x0162	0x6EF7      	MOVWF       TBLPTRH 
0x0164	0x0E00      	MOVLW       higher_addr(_letter_H)
0x0166	0x6EF8      	MOVWF       TBLPTRU 
0x0168	0x0E00      	MOVLW       0
0x016A	0xBE02      	BTFSC       R2, 7 
0x016C	0x0EFF      	MOVLW       255
0x016E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0170	0x0009      	TBLRD*+
0x0172	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0176	0xF006EF22  	GOTO        L_printChar89
L_printChar88:
;pov++.c,476 :: 		else if(letter == 'I') PORTA = letter_I[n];
0x017A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x017C	0x0A49      	XORLW       73
0x017E	0xE111      	BNZ         L_printChar90
0x0180	0x0E0B      	MOVLW       _letter_I
0x0182	0x2401      	ADDWF       R1, 0 
0x0184	0x6EF6      	MOVWF       4086 
0x0186	0x0E17      	MOVLW       hi_addr(_letter_I)
0x0188	0x2002      	ADDWFC      R2, 0 
0x018A	0x6EF7      	MOVWF       TBLPTRH 
0x018C	0x0E00      	MOVLW       higher_addr(_letter_I)
0x018E	0x6EF8      	MOVWF       TBLPTRU 
0x0190	0x0E00      	MOVLW       0
0x0192	0xBE02      	BTFSC       R2, 7 
0x0194	0x0EFF      	MOVLW       255
0x0196	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0198	0x0009      	TBLRD*+
0x019A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x019E	0xF006EF22  	GOTO        L_printChar91
L_printChar90:
;pov++.c,477 :: 		else if(letter == 'J') PORTA = letter_J[n];
0x01A2	0x501D      	MOVF        FARG_printChar_letter, 0 
0x01A4	0x0A4A      	XORLW       74
0x01A6	0xE111      	BNZ         L_printChar92
0x01A8	0x0E13      	MOVLW       _letter_J
0x01AA	0x2401      	ADDWF       R1, 0 
0x01AC	0x6EF6      	MOVWF       4086 
0x01AE	0x0E17      	MOVLW       hi_addr(_letter_J)
0x01B0	0x2002      	ADDWFC      R2, 0 
0x01B2	0x6EF7      	MOVWF       TBLPTRH 
0x01B4	0x0E00      	MOVLW       higher_addr(_letter_J)
0x01B6	0x6EF8      	MOVWF       TBLPTRU 
0x01B8	0x0E00      	MOVLW       0
0x01BA	0xBE02      	BTFSC       R2, 7 
0x01BC	0x0EFF      	MOVLW       255
0x01BE	0x22F8      	ADDWFC      TBLPTRU, 1 
0x01C0	0x0009      	TBLRD*+
0x01C2	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x01C6	0xF006EF22  	GOTO        L_printChar93
L_printChar92:
;pov++.c,478 :: 		else if(letter == 'K') PORTA = letter_K[n];
0x01CA	0x501D      	MOVF        FARG_printChar_letter, 0 
0x01CC	0x0A4B      	XORLW       75
0x01CE	0xE111      	BNZ         L_printChar94
0x01D0	0x0EDB      	MOVLW       _letter_K
0x01D2	0x2401      	ADDWF       R1, 0 
0x01D4	0x6EF6      	MOVWF       4086 
0x01D6	0x0E16      	MOVLW       hi_addr(_letter_K)
0x01D8	0x2002      	ADDWFC      R2, 0 
0x01DA	0x6EF7      	MOVWF       TBLPTRH 
0x01DC	0x0E00      	MOVLW       higher_addr(_letter_K)
0x01DE	0x6EF8      	MOVWF       TBLPTRU 
0x01E0	0x0E00      	MOVLW       0
0x01E2	0xBE02      	BTFSC       R2, 7 
0x01E4	0x0EFF      	MOVLW       255
0x01E6	0x22F8      	ADDWFC      TBLPTRU, 1 
0x01E8	0x0009      	TBLRD*+
0x01EA	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x01EE	0xF006EF22  	GOTO        L_printChar95
L_printChar94:
;pov++.c,479 :: 		else if(letter == 'L') PORTA = letter_L[n];
0x01F2	0x501D      	MOVF        FARG_printChar_letter, 0 
0x01F4	0x0A4C      	XORLW       76
0x01F6	0xE111      	BNZ         L_printChar96
0x01F8	0x0EA3      	MOVLW       _letter_L
0x01FA	0x2401      	ADDWF       R1, 0 
0x01FC	0x6EF6      	MOVWF       4086 
0x01FE	0x0E16      	MOVLW       hi_addr(_letter_L)
0x0200	0x2002      	ADDWFC      R2, 0 
0x0202	0x6EF7      	MOVWF       TBLPTRH 
0x0204	0x0E00      	MOVLW       higher_addr(_letter_L)
0x0206	0x6EF8      	MOVWF       TBLPTRU 
0x0208	0x0E00      	MOVLW       0
0x020A	0xBE02      	BTFSC       R2, 7 
0x020C	0x0EFF      	MOVLW       255
0x020E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0210	0x0009      	TBLRD*+
0x0212	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0216	0xF006EF22  	GOTO        L_printChar97
L_printChar96:
;pov++.c,480 :: 		else if(letter == 'M') PORTA = letter_M[n];
0x021A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x021C	0x0A4D      	XORLW       77
0x021E	0xE111      	BNZ         L_printChar98
0x0220	0x0EAB      	MOVLW       _letter_M
0x0222	0x2401      	ADDWF       R1, 0 
0x0224	0x6EF6      	MOVWF       4086 
0x0226	0x0E16      	MOVLW       hi_addr(_letter_M)
0x0228	0x2002      	ADDWFC      R2, 0 
0x022A	0x6EF7      	MOVWF       TBLPTRH 
0x022C	0x0E00      	MOVLW       higher_addr(_letter_M)
0x022E	0x6EF8      	MOVWF       TBLPTRU 
0x0230	0x0E00      	MOVLW       0
0x0232	0xBE02      	BTFSC       R2, 7 
0x0234	0x0EFF      	MOVLW       255
0x0236	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0238	0x0009      	TBLRD*+
0x023A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x023E	0xF006EF22  	GOTO        L_printChar99
L_printChar98:
;pov++.c,481 :: 		else if(letter == 'N') PORTA = letter_N[n];
0x0242	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0244	0x0A4E      	XORLW       78
0x0246	0xE111      	BNZ         L_printChar100
0x0248	0x0E9B      	MOVLW       _letter_N
0x024A	0x2401      	ADDWF       R1, 0 
0x024C	0x6EF6      	MOVWF       4086 
0x024E	0x0E16      	MOVLW       hi_addr(_letter_N)
0x0250	0x2002      	ADDWFC      R2, 0 
0x0252	0x6EF7      	MOVWF       TBLPTRH 
0x0254	0x0E00      	MOVLW       higher_addr(_letter_N)
0x0256	0x6EF8      	MOVWF       TBLPTRU 
0x0258	0x0E00      	MOVLW       0
0x025A	0xBE02      	BTFSC       R2, 7 
0x025C	0x0EFF      	MOVLW       255
0x025E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0260	0x0009      	TBLRD*+
0x0262	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0266	0xF006EF22  	GOTO        L_printChar101
L_printChar100:
;pov++.c,482 :: 		else if(letter == 'O') PORTA = letter_O[n];
0x026A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x026C	0x0A4F      	XORLW       79
0x026E	0xE111      	BNZ         L_printChar102
0x0270	0x0E8B      	MOVLW       _letter_O
0x0272	0x2401      	ADDWF       R1, 0 
0x0274	0x6EF6      	MOVWF       4086 
0x0276	0x0E16      	MOVLW       hi_addr(_letter_O)
0x0278	0x2002      	ADDWFC      R2, 0 
0x027A	0x6EF7      	MOVWF       TBLPTRH 
0x027C	0x0E00      	MOVLW       higher_addr(_letter_O)
0x027E	0x6EF8      	MOVWF       TBLPTRU 
0x0280	0x0E00      	MOVLW       0
0x0282	0xBE02      	BTFSC       R2, 7 
0x0284	0x0EFF      	MOVLW       255
0x0286	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0288	0x0009      	TBLRD*+
0x028A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x028E	0xF006EF22  	GOTO        L_printChar103
L_printChar102:
;pov++.c,483 :: 		else if(letter == 'P') PORTA = letter_P[n];
0x0292	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0294	0x0A50      	XORLW       80
0x0296	0xE111      	BNZ         L_printChar104
0x0298	0x0E93      	MOVLW       _letter_P
0x029A	0x2401      	ADDWF       R1, 0 
0x029C	0x6EF6      	MOVWF       4086 
0x029E	0x0E16      	MOVLW       hi_addr(_letter_P)
0x02A0	0x2002      	ADDWFC      R2, 0 
0x02A2	0x6EF7      	MOVWF       TBLPTRH 
0x02A4	0x0E00      	MOVLW       higher_addr(_letter_P)
0x02A6	0x6EF8      	MOVWF       TBLPTRU 
0x02A8	0x0E00      	MOVLW       0
0x02AA	0xBE02      	BTFSC       R2, 7 
0x02AC	0x0EFF      	MOVLW       255
0x02AE	0x22F8      	ADDWFC      TBLPTRU, 1 
0x02B0	0x0009      	TBLRD*+
0x02B2	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x02B6	0xF006EF22  	GOTO        L_printChar105
L_printChar104:
;pov++.c,484 :: 		else if(letter == 'Q') PORTA = letter_Q[n];
0x02BA	0x501D      	MOVF        FARG_printChar_letter, 0 
0x02BC	0x0A51      	XORLW       81
0x02BE	0xE111      	BNZ         L_printChar106
0x02C0	0x0ECB      	MOVLW       _letter_Q
0x02C2	0x2401      	ADDWF       R1, 0 
0x02C4	0x6EF6      	MOVWF       4086 
0x02C6	0x0E16      	MOVLW       hi_addr(_letter_Q)
0x02C8	0x2002      	ADDWFC      R2, 0 
0x02CA	0x6EF7      	MOVWF       TBLPTRH 
0x02CC	0x0E00      	MOVLW       higher_addr(_letter_Q)
0x02CE	0x6EF8      	MOVWF       TBLPTRU 
0x02D0	0x0E00      	MOVLW       0
0x02D2	0xBE02      	BTFSC       R2, 7 
0x02D4	0x0EFF      	MOVLW       255
0x02D6	0x22F8      	ADDWFC      TBLPTRU, 1 
0x02D8	0x0009      	TBLRD*+
0x02DA	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x02DE	0xF006EF22  	GOTO        L_printChar107
L_printChar106:
;pov++.c,485 :: 		else if(letter == 'R') PORTA = letter_R[n];
0x02E2	0x501D      	MOVF        FARG_printChar_letter, 0 
0x02E4	0x0A52      	XORLW       82
0x02E6	0xE111      	BNZ         L_printChar108
0x02E8	0x0ED3      	MOVLW       _letter_R
0x02EA	0x2401      	ADDWF       R1, 0 
0x02EC	0x6EF6      	MOVWF       4086 
0x02EE	0x0E16      	MOVLW       hi_addr(_letter_R)
0x02F0	0x2002      	ADDWFC      R2, 0 
0x02F2	0x6EF7      	MOVWF       TBLPTRH 
0x02F4	0x0E00      	MOVLW       higher_addr(_letter_R)
0x02F6	0x6EF8      	MOVWF       TBLPTRU 
0x02F8	0x0E00      	MOVLW       0
0x02FA	0xBE02      	BTFSC       R2, 7 
0x02FC	0x0EFF      	MOVLW       255
0x02FE	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0300	0x0009      	TBLRD*+
0x0302	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0306	0xF006EF22  	GOTO        L_printChar109
L_printChar108:
;pov++.c,486 :: 		else if(letter == 'S') PORTA = letter_S[n];
0x030A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x030C	0x0A53      	XORLW       83
0x030E	0xE111      	BNZ         L_printChar110
0x0310	0x0EC3      	MOVLW       _letter_S
0x0312	0x2401      	ADDWF       R1, 0 
0x0314	0x6EF6      	MOVWF       4086 
0x0316	0x0E16      	MOVLW       hi_addr(_letter_S)
0x0318	0x2002      	ADDWFC      R2, 0 
0x031A	0x6EF7      	MOVWF       TBLPTRH 
0x031C	0x0E00      	MOVLW       higher_addr(_letter_S)
0x031E	0x6EF8      	MOVWF       TBLPTRU 
0x0320	0x0E00      	MOVLW       0
0x0322	0xBE02      	BTFSC       R2, 7 
0x0324	0x0EFF      	MOVLW       255
0x0326	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0328	0x0009      	TBLRD*+
0x032A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x032E	0xF006EF22  	GOTO        L_printChar111
L_printChar110:
;pov++.c,487 :: 		else if(letter == 'T') PORTA = letter_T[n];
0x0332	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0334	0x0A54      	XORLW       84
0x0336	0xE111      	BNZ         L_printChar112
0x0338	0x0EB3      	MOVLW       _letter_T
0x033A	0x2401      	ADDWF       R1, 0 
0x033C	0x6EF6      	MOVWF       4086 
0x033E	0x0E16      	MOVLW       hi_addr(_letter_T)
0x0340	0x2002      	ADDWFC      R2, 0 
0x0342	0x6EF7      	MOVWF       TBLPTRH 
0x0344	0x0E00      	MOVLW       higher_addr(_letter_T)
0x0346	0x6EF8      	MOVWF       TBLPTRU 
0x0348	0x0E00      	MOVLW       0
0x034A	0xBE02      	BTFSC       R2, 7 
0x034C	0x0EFF      	MOVLW       255
0x034E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0350	0x0009      	TBLRD*+
0x0352	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0356	0xF006EF22  	GOTO        L_printChar113
L_printChar112:
;pov++.c,488 :: 		else if(letter == 'U') PORTA = letter_U[n];
0x035A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x035C	0x0A55      	XORLW       85
0x035E	0xE111      	BNZ         L_printChar114
0x0360	0x0EBB      	MOVLW       _letter_U
0x0362	0x2401      	ADDWF       R1, 0 
0x0364	0x6EF6      	MOVWF       4086 
0x0366	0x0E16      	MOVLW       hi_addr(_letter_U)
0x0368	0x2002      	ADDWFC      R2, 0 
0x036A	0x6EF7      	MOVWF       TBLPTRH 
0x036C	0x0E00      	MOVLW       higher_addr(_letter_U)
0x036E	0x6EF8      	MOVWF       TBLPTRU 
0x0370	0x0E00      	MOVLW       0
0x0372	0xBE02      	BTFSC       R2, 7 
0x0374	0x0EFF      	MOVLW       255
0x0376	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0378	0x0009      	TBLRD*+
0x037A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x037E	0xF006EF22  	GOTO        L_printChar115
L_printChar114:
;pov++.c,489 :: 		else if(letter == 'V') PORTA = letter_V[n];
0x0382	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0384	0x0A56      	XORLW       86
0x0386	0xE111      	BNZ         L_printChar116
0x0388	0x0EA3      	MOVLW       _letter_V
0x038A	0x2401      	ADDWF       R1, 0 
0x038C	0x6EF6      	MOVWF       4086 
0x038E	0x0E17      	MOVLW       hi_addr(_letter_V)
0x0390	0x2002      	ADDWFC      R2, 0 
0x0392	0x6EF7      	MOVWF       TBLPTRH 
0x0394	0x0E00      	MOVLW       higher_addr(_letter_V)
0x0396	0x6EF8      	MOVWF       TBLPTRU 
0x0398	0x0E00      	MOVLW       0
0x039A	0xBE02      	BTFSC       R2, 7 
0x039C	0x0EFF      	MOVLW       255
0x039E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x03A0	0x0009      	TBLRD*+
0x03A2	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x03A6	0xF006EF22  	GOTO        L_printChar117
L_printChar116:
;pov++.c,490 :: 		else if(letter == 'W') PORTA = letter_W[n];
0x03AA	0x501D      	MOVF        FARG_printChar_letter, 0 
0x03AC	0x0A57      	XORLW       87
0x03AE	0xE111      	BNZ         L_printChar118
0x03B0	0x0EAB      	MOVLW       _letter_W
0x03B2	0x2401      	ADDWF       R1, 0 
0x03B4	0x6EF6      	MOVWF       4086 
0x03B6	0x0E17      	MOVLW       hi_addr(_letter_W)
0x03B8	0x2002      	ADDWFC      R2, 0 
0x03BA	0x6EF7      	MOVWF       TBLPTRH 
0x03BC	0x0E00      	MOVLW       higher_addr(_letter_W)
0x03BE	0x6EF8      	MOVWF       TBLPTRU 
0x03C0	0x0E00      	MOVLW       0
0x03C2	0xBE02      	BTFSC       R2, 7 
0x03C4	0x0EFF      	MOVLW       255
0x03C6	0x22F8      	ADDWFC      TBLPTRU, 1 
0x03C8	0x0009      	TBLRD*+
0x03CA	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x03CE	0xF006EF22  	GOTO        L_printChar119
L_printChar118:
;pov++.c,491 :: 		else if(letter == 'X') PORTA = letter_X[n];
0x03D2	0x501D      	MOVF        FARG_printChar_letter, 0 
0x03D4	0x0A58      	XORLW       88
0x03D6	0xE111      	BNZ         L_printChar120
0x03D8	0x0E9B      	MOVLW       _letter_X
0x03DA	0x2401      	ADDWF       R1, 0 
0x03DC	0x6EF6      	MOVWF       4086 
0x03DE	0x0E17      	MOVLW       hi_addr(_letter_X)
0x03E0	0x2002      	ADDWFC      R2, 0 
0x03E2	0x6EF7      	MOVWF       TBLPTRH 
0x03E4	0x0E00      	MOVLW       higher_addr(_letter_X)
0x03E6	0x6EF8      	MOVWF       TBLPTRU 
0x03E8	0x0E00      	MOVLW       0
0x03EA	0xBE02      	BTFSC       R2, 7 
0x03EC	0x0EFF      	MOVLW       255
0x03EE	0x22F8      	ADDWFC      TBLPTRU, 1 
0x03F0	0x0009      	TBLRD*+
0x03F2	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x03F6	0xF006EF22  	GOTO        L_printChar121
L_printChar120:
;pov++.c,492 :: 		else if(letter == 'Y') PORTA = letter_Y[n];
0x03FA	0x501D      	MOVF        FARG_printChar_letter, 0 
0x03FC	0x0A59      	XORLW       89
0x03FE	0xE111      	BNZ         L_printChar122
0x0400	0x0E8B      	MOVLW       _letter_Y
0x0402	0x2401      	ADDWF       R1, 0 
0x0404	0x6EF6      	MOVWF       4086 
0x0406	0x0E17      	MOVLW       hi_addr(_letter_Y)
0x0408	0x2002      	ADDWFC      R2, 0 
0x040A	0x6EF7      	MOVWF       TBLPTRH 
0x040C	0x0E00      	MOVLW       higher_addr(_letter_Y)
0x040E	0x6EF8      	MOVWF       TBLPTRU 
0x0410	0x0E00      	MOVLW       0
0x0412	0xBE02      	BTFSC       R2, 7 
0x0414	0x0EFF      	MOVLW       255
0x0416	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0418	0x0009      	TBLRD*+
0x041A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x041E	0xF006EF22  	GOTO        L_printChar123
L_printChar122:
;pov++.c,493 :: 		else if(letter == 'Z') PORTA = letter_Z[n];
0x0422	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0424	0x0A5A      	XORLW       90
0x0426	0xE110      	BNZ         L_printChar124
0x0428	0x0E93      	MOVLW       _letter_Z
0x042A	0x2401      	ADDWF       R1, 0 
0x042C	0x6EF6      	MOVWF       4086 
0x042E	0x0E17      	MOVLW       hi_addr(_letter_Z)
0x0430	0x2002      	ADDWFC      R2, 0 
0x0432	0x6EF7      	MOVWF       TBLPTRH 
0x0434	0x0E00      	MOVLW       higher_addr(_letter_Z)
0x0436	0x6EF8      	MOVWF       TBLPTRU 
0x0438	0x0E00      	MOVLW       0
0x043A	0xBE02      	BTFSC       R2, 7 
